2018-02-1	03:05	04:19	[TCS ENT]
2018-02-2	21:36	23:29	[F2 ENT-18 0918]
2018-02-12	21:28	02:00	[TCS RTEM testing]
2018-02-14	21:26	22:56	[TCS RTEM testing]
2018-02-15	21:11	23:00	[04:00-6:30  F2 ENT and AO ENT]
2018-02-16	21:00	22:56	[F2 ENT]
2018-02-20	04:03	5:28	[TCS RTEMS ENT to check GeMS NGS AO]
2018-02-21	21:00	22:47	[F2 ENT-18 0918]
2018-02-22	21:18	01:45	[F2 ENT-18 0918]
2018-02-23	21:09	00:45	[F2 ENT-18 0918 and ENT-17 0907]
2018-02-24	21:00	23:35	[F2 ENT-18 0918]
2018-02-28	21:10	23:17	[GSAOI ENT-18 0923]
2018-03-5	22:00	23:10	[ENT-18 0926]
2018-03-12	21:00	22:27	[F2-OIWF ENT]
2018-03-13	20:56	22:43	[GMOS ENT]
2018-03-14	20:53	22:13	[GMOS ENT]
2018-03-27	20:54	22:00	[GMOS ENT]
2018-04-9	21:27	22:01 	[F2 checks]
2018-04-11	04:36	04:55 	[F2 checks]
2018-04-13	20:13	21:50  	[F2 checks]
2018-04-18	19:15	19:52 	[ENT-18 0934]
2018-06-4	19:46	20:18	[ENT-18 0937]
2018-06-18	00:29	01:05	[ENT-18 0935]
2018-06-19	00:20	00:59	[ENT-18 0935]
2018-07-29	19:03	06:36	[GeMS ENT]
2018-07-30	19:04	21:40	[GeMS ENT]
